工程採購數量計算表,,,,,,,,,,,,,,,,,,,,,,,,,
物流中心,,,,,,,,,,,,,,,,,,,,,,,,,
輕隔間數量計算表 (全棟合併),,,,,,,,,,,,,,,,,,,,,,,,,
樓別名稱,,輕隔間牆,,,,,,門開口、窗開口,,,,,,,輕隔間牆面積,,,,,,,,,,
編號,空間名稱,空間周長,輕隔間牆類型,牆長,牆高,面積,小計,名稱,數量,長,高,面積,小計,總計,Type-A 雙面輕隔間,Type-A2 雙面輕隔間,Type-B 濕式輕隔間,Type-B 濕式輕隔間-襯板,Type-C 單面輕隔間,Type-D 矽酸鈣板(單面封板),Type-E 複壁,Type-E 纖維水泥板(單面)-10cm,Type-F 岩棉庫板,Type-F 岩棉庫板(柱封版),Type-G 矽酸鈣板(單板)
F137,家樂福辦公室,55.78,Type-G 矽酸鈣板(單板),=2.84+6.13+0.91+0.85+0.85+0.88+0.85,5.18,=E110*F110,=G110,,,,,,,=H110,,,,,,,,,,,=O110
F138,醫護室,16.25,Type-A 雙面輕隔間,=5.10+5.10+3.03+3.10,4.95,=E111*F111,=G111,D9-90x210 cm,1,0.90,2.10,=J111*K111*L111,=M111,=H111-N111,=O111,,,,,,,,,,
F139,哺乳室,15.77,Type-A 雙面輕隔間,=2.86+2.79,4.94,=E112*F112,=G112,D9-90x210 cm,1,0.90,2.10,=J112*K112*L112,=M112,=H112-N112,=O112,,,,,,,,,,
F139,哺乳室,15.77,Type-G 矽酸鈣板(單板),=7.34,5.18,=E113*F113,=G113,,,,,,,=H113,,,,,,,,,,,=O113
F140,走廊,108.56,Type-A 雙面輕隔間,=4.43+2.65+5.10+3.44,5.94,=E114*F114,=G114,D17-180x210 cm,1,1.80,2.10,=J114*K114*L114,=M114,=H114-N114-N115,=O114,,,,,,,,,,
,,,,,,,,D3-180x220 cm,1,1.80,2.20,=J115*K115*L115,=M115,,,,,,,,,,,,
F140,走廊,108.56,Type-B 濕式輕隔間,=3.03,4.95,=E116*F116,=G116,,,,,,,=H116,,,=O116,,,,,,,,
F140,走廊,108.56,Type-C 單面輕隔間,=1.35+1.35+3.70,5.00,=E117*F117,=G117,,,,,,,=H117,,,,,=O117,,,,,,
F140,走廊,108.56,Type-F 岩棉庫板,=4.22,9.39,=E118*F118,=G118,D6-120x220 cm,1,1.20,2.20,=J118*K118*L118,=M118,=H118-N118,,,,,,,,,=O118,,
F140,走廊,108.56,Type-G 矽酸鈣板(單板),=5.75+1.11+1.10,5.15,=E119*F119,=G119,,,,,,,=H119,,,,,,,,,,,=O119
F141,男廁,22.98,Type-B 濕式輕隔間,=2.57+0.84+1.49+4.55+5.79+2.88,7.33,=E120*F120,=G120,D12-100x210 cm,1,0.90,2.10,=J120*K120*L120,=M120,=H120-N120,,,=O120,,,,,,,,
F142,空調管道間,3.86,Type-C 單面輕隔間,=1.33+0.60+1.42+0.60,4.99,=E121*F121,=G121,D1-60x120 cm,1,0.60,1.20,=J121*K121*L121,=M121,=H121-N121,,,,,=O121,,,,,,
F143,電氣室,0.00,Type-A 雙面輕隔間,=1.26+1.86,5.12,=E122*F122,=G122,D4-90x220 cm,1,0.90,2.20,=J122*K122*L122,=M122,=H122-N122,=O122,,,,,,,,,,
F143,電氣室,0.00,Type-B 濕式輕隔間,=5.71,4.90,=E123*F123,=G123,,,,,,,=H123,,,=O123,,,,,,,,
F144,管道間,10.54,Type-C 單面輕隔間,=1.86,4.69,=E124*F124,=G124,D1-60x120 cm,1,0.60,1.20,=J124*K124*L124,=M124,=H124-N124,,,,,=O124,,,,,,
F145,無障礙廁所,9.08,Type-B 濕式輕隔間,=2.31+1.64+2.70+2.20,5.10,=E125*F125,=G125,D14-110x210 cm,1,1.00,2.10,=J125*K125*L125,=M125,=H125-N125,,,=O125,,,,,,,,
F146,女廁,25.10,Type-B 濕式輕隔間,=1.52+1.52+5.71+4.35,4.27,=E126*F126,=G126,,,,,,,=H126,,,=O126,,,,,,,,
F147,茶水間,31.02,Type-B 濕式輕隔間,=6.03+9.70,4.89,=E127*F127,=G127,D18-90x210cm,1,0.90,2.10,=J127*K127*L127,=M127,=H127-N127,,,=O127,,,,,,,,
F147,茶水間,31.02,Type-G 矽酸鈣板(單板),=5.99+0.91+0.85,5.16,=E128*F128,=G128,,,,,,,=H128,,,,,,,,,,,=O128
F148,垃圾回收間,11.18,Type-A 雙面輕隔間,=2.79,5.02,=E129*F129,=G129,,,,,,,=H129,=O129,,,,,,,,,,
F148,垃圾回收間,11.18,Type-B 濕式輕隔間,=2.93+2.80,4.87,=E130*F130,=G130,D18-90x210cm,1,0.90,2.10,=J130*K130*L130,=M130,=H130-N130,,,=O130,,,,,,,,
F149,會客室,12.18,Type-A 雙面輕隔間,=3.38,4.70,=E131*F131,=G131,D16-90x210 cm,1,0.90,2.10,=J131*K131*L131,=M131,=H131-N131,=O131,,,,,,,,,,
F149,會客室,12.18,Type-G 矽酸鈣板(單板),=11.09,5.14,=E132*F132,=G132,,,,,,,=H132,,,,,,,,,,,=O132
F150,會客室,11.92,Type-A 雙面輕隔間,=2.79+3.18,4.67,=E133*F133,=G133,D16-90x210 cm,1,0.90,2.10,=J133*K133*L133,=M133,=H133-N133,=O133,,,,,,,,,,
F151,收發室,11.25,Type-A 雙面輕隔間,=2.98+2.79,4.83,=E134*F134,=G134,D9-90x210 cm,1,0.90,2.10,=J134*K134*L134,=M134,=H134-N134,=O134,,,,,,,,,,
F151,收發室,11.25,Type-G 矽酸鈣板(單板),=1.94+1.10+0.85,5.14,=E135*F135,=G135,,,,,,,=H135,,,,,,,,,,,=O135
F152,丙無障礙安全梯,19.92,Type-A 雙面輕隔間,=0.98,10.20,=E136*F136,=G136,,,,,,,=H136,=O136,,,,,,,,,,
F152,丙無障礙安全梯,19.92,Type-D 矽酸鈣板(單面封板),=1.28,3.91,=E137*F137,=G137,,,,,,,=H137,,,,,,=O137,,,,,
F152,丙無障礙安全梯,19.92,Type-F 岩棉庫板,=6.60,5.15,=E138*F138,=G138,,,,,,,=H138,,,,,,,,,=O138,,
F152,丙無障礙安全梯,19.92,Type-F 岩棉庫板(柱封版),=0.40+3.18+0.45,4.71,=E139*F139,=G139,,,,,,,=H139,,,,,,,,,,=O139,
F153,管道間,7.25,Type-C 單面輕隔間,=3.15+3.23+0.48+0.55,9.41,=E140*F140,=G140,D1-60x120 cm,1,0.60,1.20,=J140*K140*L140,=M140,=H140-N140,,,,,=O140,,,,,,
F153,管道間,7.25,Type-F 岩棉庫板(柱封版),=0.40+0.40,3.75,=E141*F141,=G141,,,,,,,=H141,,,,,,,,,,=O141,
F154,梯廳,25.42,Type-A 雙面輕隔間,=5.00+7.65+5.08,6.29,=E142*F142,=G142,D7-180x220 cm,2,1.80,2.20,=J142*K142*L142,=M142,=H142-N142-N143,=O142,,,,,,,,,,
,,,,,,,,D6-120x220 cm,1,1.20,2.20,=J143*K143*L143,=M143,,,,,,,,,,,,
F155,丙無障礙客梯,16.05,Type-B 濕式輕隔間,=3.00,4.67,=E144*F144,=G144,,,,,,,=H144,,,=O144,,,,,,,,
F155,丙無障礙客梯,16.05,Type-D 矽酸鈣板(單面封板),=3.05,4.26,=E145*F145,=G145,,,,,,,=H145,,,,,,=O145,,,,,
F156,丁無障礙客梯,14.16,Type-C 單面輕隔間,=1.86,4.30,=E146*F146,=G146,,,,,,,=H146,,,,,=O146,,,,,,
F156,丁無障礙客梯,14.16,Type-D 矽酸鈣板(單面封板),=3.70+3.53,6.92,=E147*F147,=G147,,,,,,,=H147,,,,,,=O147,,,,,
F157,理貨區,208.09,Type-F 岩棉庫板,=71.05,9.63,=E148*F148,=G148,SD5-1000x300 cm,6,10.00,3.00,=J148*K148*L148,=M148,=H148-N148,,,,,,,,,=O148,,
F158,理貨區,163.79,Type-F 岩棉庫板,=36.00,9.67,=E149*F149,=G149,SD5-1000x300 cm,3,10.00,3.00,=J149*K149*L149,=M149,=H149-N149,,,,,,,,,=O149,,
F159,AS/RS,270.41,,,,,,,,,,,,,,,,,,,,,,,
F201,管道間,8.05,Type-A 雙面輕隔間,=4.43,4.74,=E151*F151,=G151,,,,,,,=H151,=O151,,,,,,,,,,
F201,管道間,8.05,Type-F 岩棉庫板(柱封版),=3.18,4.40,=E152*F152,=G152,,,,,,,=H152,,,,,,,,,,=O152,
F202,丙無障礙客梯,16.05,Type-B 濕式輕隔間,=3.00,4.33,=E153*F153,=G153,,,,,,,=H153,,,=O153,,,,,,,,
F202,丙無障礙客梯,16.05,Type-C 單面輕隔間,=1.35+1.35+3.70,4.38,=E154*F154,=G154,,,,,,,=H154,,,,,=O154,,,,,,
F203,管道間,7.40,Type-C 單面輕隔間,=0.63,4.76,=E155*F155,=G155,,,,,,,=H155,,,,,=O155,,,,,,
F204,甲貨梯,23.60,,,,,,,,,,,,,,,,,,,,,,,
F205,甲安全梯,20.80,,,,,,,,,,,,,,,,,,,,,,,
F206,丁安全梯,20.62,,,,,,,,,,,,,,,,,,,,,,,
F207,乙貨梯,25.80,,,,,,,,,,,,,,,,,,,,,,,
F208,管道間,4.67,Type-C 單面輕隔間,=1.79+1.86,4.31,=E160*F160,=G160,D1-60x120 cm,1,0.60,1.20,=J160*K160*L160,=M160,=H160-N160,,,,,=O160,,,,,,
F209,管道間,3.86,Type-C 單面輕隔間,=1.33+0.60+0.60+1.33,4.66,=E161*F161,=G161,,,,,,,=H161,,,,,=O161,,,,,,
F210,梯廳,25.69,Type-A 雙面輕隔間,=5.15,4.26,=E162*F162,=G162,D7-180x220 cm,1,1.80,2.20,=J162*K162*L162,=M162,=H162-N162,=O162,,,,,,,,,,
F210,梯廳,25.69,Type-D 矽酸鈣板(單面封板),=6.50,3.54,=E163*F163,=G163,,,,,,,=H163,,,,,,=O163,,,,,
F211,辦公區,139.21,Type-D 矽酸鈣板(單面封板),=9.57+35.46+18.54,4.48,=E164*F164,=G164,,,,,,,=H164,,,,,,=O164,,,,,
F211,辦公區,139.21,Type-E 複壁,=24.93,4.69,=E165*F165,=G165,,,,,,,=H165,,,,,,,=O165,,,,
F211,辦公區,139.21,Type-G 矽酸鈣板(單板),=7.40,4.73,=E166*F166,=G166,,,,,,,=H166,,,,,,,,,,,=O166
F212,女廁,25.10,Type-B 濕式輕隔間,=1.52+1.52+4.35,3.65,=E167*F167,=G167,,,,,,,=H167,,,=O167,,,,,,,,
F213,無障礙廁所,9.08,Type-B 濕式輕隔間,=5.11+2.20,4.38,=E168*F168,=G168,D12-100x210 cm,1,0.90,2.10,=J168*K168*L168,=M168,=H168-N168-N169,,,=O168,,,,,,,,
,,,,,,,,D14-110x210 cm,1,1.00,2.10,=J169*K169*L169,=M169,,,,,,,,,,,,
F214,男廁,22.98,Type-B 濕式輕隔間,=0.84+1.49+2.66,3.41,=E170*F170,=G170,,,,,,,=H170,,,=O170,,,,,,,,
F215,電氣室,10.54,Type-A 雙面輕隔間,=1.86+1.26,4.48,=E171*F171,=G171,D4-90x220 cm,1,0.90,2.20,=J171*K171*L171,=M171,=H171-N171,=O171,,,,,,,,,,
F215,電氣室,10.54,Type-B 濕式輕隔間,=5.71+2.70,4.51,=E172*F172,=G172,D12-100x210 cm,1,0.90,2.10,=J172*K172*L172,=M172,=H172-N172,,,=O172,,,,,,,,
F216,戊安全梯,20.72,,,,,,,,,,,,,,,,,,,,,,,
F217,管道間,9.55,,,,,,,,,,,,,,,,,,,,,,,
F218,乙安全梯,20.78,,,,,,,,,,,,,,,,,,,,,,,
F219,丙無障礙安全梯,19.85,Type-A 雙面輕隔間,=7.65,4.63,=E176*F176,=G176,D5-120x200 cm,1,1.20,2.00,=J176*K176*L176,=M176,=H176-N176,=O176,,,,,,,,,,
