工程採購數量計算表,,,,,,,,,,,,,,,,,,,,,,,,,
物流中心,,,,,,,,,,,,,,,,,,,,,,,,,
輕隔間數量計算表 (全棟合併),,,,,,,,,,,,,,,,,,,,,,,,,
樓別名稱,,輕隔間牆,,,,,,門開口、窗開口,,,,,,,輕隔間牆面積,,,,,,,,,,
編號,空間名稱,空間周長,輕隔間牆類型,牆長,牆高,面積,小計,名稱,數量,長,高,面積,小計,總計,Type-A 雙面輕隔間,Type-A2 雙面輕隔間,Type-B 濕式輕隔間,Type-B 濕式輕隔間-襯板,Type-C 單面輕隔間,Type-D 矽酸鈣板(單面封板),Type-E 複壁,Type-E 纖維水泥板(單面)-10cm,Type-F 岩棉庫板,Type-F 岩棉庫板(柱封版),Type-G 矽酸鈣板(單板)
F427,大型會議室,68.05,Type-C 單面輕隔間,=3.70,4.32,=E340*F340,=G340,,,,,,,=H340,,,,,=O340,,,,,,
F427,大型會議室,68.05,Type-D 矽酸鈣板(單面封板),=7.80+10.65,4.82,=E341*F341,=G341,,,,,,,=H341,,,,,,=O341,,,,,
F427,大型會議室,68.05,Type-G 矽酸鈣板(單板),=5.14+2.55+9.79,4.58,=E342*F342,=G342,,,,,,,=H342,,,,,,,,,,,=O342
F428,管道間,8.30,Type-C 單面輕隔間,=1.80+2.40+1.80,4.33,=E343*F343,=G343,,,,,,,=H343,,,,,=O343,,,,,,
F501,梯廳,25.60,Type-A 雙面輕隔間,=4.83,5.37,=E344*F344,=G344,D7-180x220 cm,1,1.80,2.20,=J344*K344*L344,=M344,=H344-N344,=O344,,,,,,,,,,
F501,梯廳,25.60,Type-C 單面輕隔間,=1.23,4.88,=E345*F345,=G345,,,,,,,=H345,,,,,=O345,,,,,,
F501,梯廳,25.60,Type-G 矽酸鈣板(單板),=5.15,5.63,=E346*F346,=G346,,,,,,,=H346,,,,,,,,,,,=O346
F502,儲藏室,116.80,Type-F 岩棉庫板,=21.21+37.20,7.15,=E347*F347,=G347,D3-180x220 cm,2,1.80,2.20,=J347*K347*L347,=M347,=H347-N347,,,,,,,,,=O347,,
F502,儲藏室,116.80,Type-G 矽酸鈣板(單板),=1.88,5.32,=E348*F348,=G348,,,,,,,=H348,,,,,,,,,,,=O348
F503,辦公區,53.72,Type-A 雙面輕隔間,=9.89,4.95,=E349*F349,=G349,D3-180x220 cm,1,1.80,2.20,=J349*K349*L349,=M349,=H349-N349,=O349,,,,,,,,,,
F503,辦公區,53.72,Type-B 濕式輕隔間,=0.85,4.71,=E350*F350,=G350,,,,,,,=H350,,,=O350,,,,,,,,
F503,辦公區,53.72,Type-G 矽酸鈣板(單板),=8.63+5.53+1.10+0.88+1.10+4.59+1.30+1.20,5.22,=E351*F351,=G351,,,,,,,=H351,,,,,,,,,,,=O351
F504,梯廳,37.15,Type-A 雙面輕隔間,=5.20+5.28+2.85,5.34,=E352*F352,=G352,D6-120x220 cm,2,1.20,2.20,=J352*K352*L352,=M352,=H352-N352-N353,=O352,,,,,,,,,,
,,,,,,,,D7-180x220 cm,1,1.80,2.20,=J353*K353*L353,=M353,,,,,,,,,,,,
F505,公用廁所,22.34,Type-B 濕式輕隔間,=5.15+1.07+0.98+1.29,2.47,=E354*F354,=G354,,,,,,,=H354,,,=O354,,,,,,,,
F505,公用廁所,22.34,Type-B 濕式輕隔間,=4.37+1.07,4.23,=E355*F355,=G355,,,,,,,=H355,,,=O355,,,,,,,,
F505,公用廁所,22.34,Type-B 濕式輕隔間-襯板,=2.76+0.40+1.66+2.47+0.53+1.71+0.40+0.40,2.23,=E356*F356,=G356,,,,,,,=H356,,,,=O356,,,,,,,
F505,公用廁所,22.34,Type-B 濕式輕隔間-襯板,=2.76+0.40+0.40,2.53,=E357*F357,=G357,,,,,,,=H357,,,,=O357,,,,,,,
F505,公用廁所,22.34,Type-C 單面輕隔間,=1.29,3.88,=E358*F358,=G358,,,,,,,=H358,,,,,=O358,,,,,,
F506,恆溫區,195.75,Type-F 岩棉庫板,=28.90+48.00+18.20,8.96,=E359*F359,=G359,SD4-400x280 cm,8,4.00,2.80,=J359*K359*L359,=M359,=H359-N359-N360,,,,,,,,,=O359,,
,,,,,,,,D6-120x220 cm,4,1.20,2.20,=J360*K360*L360,=M360,,,,,,,,,,,,
F507,大家電落地區,219.46,Type-F 岩棉庫板,=51.70,8.98,=E361*F361,=G361,SD4-400x280 cm,4,4.00,2.80,=J361*K361*L361,=M361,=H361-N361-N362,,,,,,,,,=O361,,
,,,,,,,,D6-120x220 cm,2,1.20,2.20,=J362*K362*L362,=M362,,,,,,,,,,,,
F508,大家電區,209.08,Type-F 岩棉庫板,=47.05+34.65+23.00,9.46,=E363*F363,=G363,SD4-400x280 cm,9,4.00,2.80,=J363*K363*L363,=M363,=H363-N363-N364,,,,,,,,,=O363,,
,,,,,,,,D6-120x220 cm,4,1.20,2.20,=J364*K364*L364,=M364,,,,,,,,,,,,
F508,大家電區,209.08,Type-G 矽酸鈣板(單板),=1.98,5.56,=E365*F365,=G365,,,,,,,=H365,,,,,,,,,,,=O365
F509,大家電落地區,217.47,Type-F 岩棉庫板,=47.05+34.50+6.14+9.56+9.56,9.22,=E366*F366,=G366,SD4-400x280 cm,7,4.00,2.80,=J366*K366*L366,=M366,=H366-N366-N367,,,,,,,,,=O366,,
,,,,,,,,D6-120x220 cm,4,1.20,2.20,=J367*K367*L367,=M367,,,,,,,,,,,,
F509,大家電落地區,217.47,Type-G 矽酸鈣板(單板),=1.98,5.56,=E368*F368,=G368,,,,,,,=H368,,,,,,,,,,,=O368
F510,恆溫區,178.67,Type-F 岩棉庫板,=53.50+1.05+12.25,8.68,=E369*F369,=G369,D6-120x220 cm,1,1.20,2.20,=J369*K369*L369,=M369,=H369-N369,,,,,,,,,=O369,,
F511,大家電區,240.12,Type-F 岩棉庫板,=36.05,8.75,=E370*F370,=G370,SD4-400x280 cm,4,4.00,2.80,=J370*K370*L370,=M370,=H370-N370-N371,,,,,,,,,=O370,,
,,,,,,,,D6-120x220 cm,1,1.20,2.20,=J371*K371*L371,=M371,,,,,,,,,,,,
F511,大家電區,240.12,Type-G 矽酸鈣板(單板),=1.98,5.56,=E372*F372,=G372,,,,,,,=H372,,,,,,,,,,,=O372
F512,弱電室,22.32,Type-A 雙面輕隔間,=6.26+4.83+2.83,5.31,=E373*F373,=G373,D3-180x220 cm,1,1.80,2.20,=J373*K373*L373,=M373,=H373-N373,=O373,,,,,,,,,,
F512,弱電室,22.32,Type-F 岩棉庫板(柱封版),=0.43+0.43+0.43,4.65,=E374*F374,=G374,,,,,,,=H374,,,,,,,,,,=O374,
F513,電氣室,24.12,Type-A 雙面輕隔間,=6.21+3.80,5.49,=E375*F375,=G375,D3-180x220 cm,1,1.80,2.20,=J375*K375*L375,=M375,=H375-N375,=O375,,,,,,,,,,
F513,電氣室,24.12,Type-F 岩棉庫板(柱封版),=0.43+0.45+0.43+0.48,4.47,=E376*F376,=G376,,,,,,,=H376,,,,,,,,,,=O376,
F514,管道間,7.25,Type-C 單面輕隔間,=4.40+0.48+0.55+3.15,5.45,=E377*F377,=G377,D1-60x120 cm,1,0.60,1.20,=J377*K377*L377,=M377,=H377-N377,,,,,=O377,,,,,,
F514,管道間,7.25,Type-F 岩棉庫板(柱封版),=0.40+0.40,5.00,=E378*F378,=G378,,,,,,,=H378,,,,,,,,,,=O378,
F516,管道間,6.10,Type-C 單面輕隔間,=2.15+0.90+0.90+2.15,5.36,=E379*F379,=G379,D1-60x120 cm,1,0.60,1.20,=J379*K379*L379,=M379,=H379-N379,,,,,=O379,,,,,,
F516,管道間,6.10,Type-F 岩棉庫板(柱封版),=0.43,4.65,=E380*F380,=G380,,,,,,,=H380,,,,,,,,,,=O380,
F517,管道間,5.90,Type-C 單面輕隔間,=2.05+0.90+0.90+2.05,5.38,=E381*F381,=G381,D1-60x120 cm,1,0.60,1.20,=J381*K381*L381,=M381,=H381-N381,,,,,=O381,,,,,,
F518,管道間,3.55,Type-C 單面輕隔間,=0.43+1.35+0.43,4.52,=E382*F382,=G382,,,,,,,=H382,,,,,=O382,,,,,,
F519,管道間,6.40,Type-C 單面輕隔間,=1.65+1.55+1.65+1.55,6.41,=E383*F383,=G383,,,,,,,=H383,,,,,=O383,,,,,,
F520,管道間,9.70,Type-C 單面輕隔間,=4.10+4.10+0.75+0.83,5.80,=E384*F384,=G384,D1-60x120 cm,1,0.60,1.20,=J384*K384*L384,=M384,=H384-N384,,,,,=O384,,,,,,
F522,管道間,9.55,Type-C 單面輕隔間,=4.10+0.75+0.68+4.10,5.47,=E385*F385,=G385,D1-60x120 cm,1,0.60,1.20,=J385*K385*L385,=M385,=H385-N385,,,,,=O385,,,,,,
F523,乙貨梯,25.78,Type-C 單面輕隔間,=5.85+7.04+5.85+7.12,5.26,=E386*F386,=G386,,,,,,,=H386,,,,,=O386,,,,,,
F524,乙安全梯,20.78,Type-A 雙面輕隔間,=6.29+4.10+6.37,5.47,=E387*F387,=G387,D6-120x220 cm,1,1.20,2.20,=J387*K387*L387,=M387,=H387-N387,=O387,,,,,,,,,,
F524,乙安全梯,20.78,Type-F 岩棉庫板(柱封版),=0.38+0.38+0.38+0.48,3.09,=E388*F388,=G388,,,,,,,=H388,,,,,,,,,,=O388,
F525,甲貨梯,23.60,Type-C 單面輕隔間,=5.85+5.95+5.95+5.85,4.96,=E389*F389,=G389,,,,,,,=H389,,,,,=O389,,,,,,
F526,甲安全梯,20.65,Type-A 雙面輕隔間,=6.30+4.10+6.23,6.71,=E390*F390,=G390,D6-120x220 cm,1,1.20,2.20,=J390*K390*L390,=M390,=H390-N390,=O390,,,,,,,,,,
F526,甲安全梯,20.65,Type-D 矽酸鈣板(單面封板),=0.40+0.40+0.40+0.51,7.02,=E391*F391,=G391,,,,,,,=H391,,,,,,=O391,,,,,
F527,丁安全梯,20.62,Type-A 雙面輕隔間,=6.21+6.21+7.10,5.41,=E392*F392,=G392,D4-90x220 cm,1,0.90,2.20,=J392*K392*L392,=M392,=H392-N392-N393,=O392,,,,,,,,,,
,,,,,,,,D6-120x220 cm,1,1.20,2.20,=J393*K393*L393,=M393,,,,,,,,,,,,
F527,丁安全梯,20.62,Type-F 岩棉庫板(柱封版),=1.05+0.40+0.46+0.40,3.90,=E394*F394,=G394,,,,,,,=H394,,,,,,,,,,=O394,
F528,戊安全梯,20.57,Type-A 雙面輕隔間,=4.03+4.03+6.26,7.10,=E395*F395,=G395,D6-120x220 cm,1,1.20,2.20,=J395*K395*L395,=M395,=H395-N395,=O395,,,,,,,,,,
F528,戊安全梯,20.57,Type-D 矽酸鈣板(單面封板),=1.08+0.40+0.40+0.54,4.55,=E396*F396,=G396,,,,,,,=H396,,,,,,=O396,,,,,
F529,丙無障礙安全梯,19.95,Type-A 雙面輕隔間,=7.68,5.42,=E397*F397,=G397,D6-120x220 cm,1,1.20,2.20,=J397*K397*L397,=M397,=H397-N397,=O397,,,,,,,,,,
F529,丙無障礙安全梯,19.95,Type-F 岩棉庫板,=7.68,5.34,=E398*F398,=G398,,,,,,,=H398,,,,,,,,,=O398,,
F529,丙無障礙安全梯,19.95,Type-F 岩棉庫板(柱封版),=3.18+0.40+0.48,5.42,=E399*F399,=G399,,,,,,,=H399,,,,,,,,,,=O399,
F530,丙無障礙客梯,13.70,Type-B 濕式輕隔間,=3.23,5.57,=E400*F400,=G400,,,,,,,=H400,,,=O400,,,,,,,,
F531,丁無障礙客梯,14.40,Type-C 單面輕隔間,=1.79,5.03,=E401*F401,=G401,,,,,,,=H401,,,,,=O401,,,,,,
F531,丁無障礙客梯,14.40,Type-D 矽酸鈣板(單面封板),=4.03+6.65,4.87,=E402*F402,=G402,,,,,,,=H402,,,,,,=O402,,,,,
F532,電氣室,20.32,Type-A 雙面輕隔間,=6.26+3.90+3.90+5.36,5.35,=E403*F403,=G403,D4-90x220 cm,1,0.90,2.20,=J403*K403*L403,=M403,=H403-N403,=O403,,,,,,,,,,
F533,弱電室,18.42,Type-A 雙面輕隔間,=12.95+5.31,5.31,=E404*F404,=G404,,,,,,,=H404,=O404,,,,,,,,,,
F534,茶水間,15.40,Type-B 濕式輕隔間,=0.80+4.95,5.22,=E405*F405,=G405,,,,,,,=H405,,,=O405,,,,,,,,
F535,女廁,25.10,Type-B 濕式輕隔間,=5.09+1.54+1.52,4.29,=E406*F406,=G406,,,,,,,=H406,,,=O406,,,,,,,,
F535,女廁,25.10,Type-C 單面輕隔間,=1.23,4.88,=E407*F407,=G407,,,,,,,=H407,,,,,=O407,,,,,,
F536,無障礙廁所,9.08,Type-B 濕式輕隔間,=0.49+5.11+1.72+2.20,5.25,=E408*F408,=G408,D12-100x210 cm,1,0.90,2.10,=J408*K408*L408,=M408,=H408-N408-N409,,,=O408,,,,,,,,
,,,,,,,,D14-110x210 cm,1,1.00,2.10,=J409*K409*L409,=M409,,,,,,,,,,,,
F537,管道間,10.54,Type-C 單面輕隔間,=1.86,5.23,=E410*F410,=G410,D1-60x120 cm,1,0.60,1.20,=J410*K410*L410,=M410,=H410-N410,,,,,=O410,,,,,,
F538,男廁,22.98,Type-B 濕式輕隔間,=2.66+0.84+1.49+5.71+3.99,5.17,=E411*F411,=G411,,,,,,,=H411,,,=O411,,,,,,,,
F539,電氣室,0.00,Type-A 雙面輕隔間,=1.26+1.86,5.12,=E412*F412,=G412,D4-90x220 cm,1,0.90,2.20,=J412*K412*L412,=M412,=H412-N412,=O412,,,,,,,,,,
F539,電氣室,0.00,Type-B 濕式輕隔間,=5.71+2.70,5.34,=E413*F413,=G413,D12-100x210 cm,1,0.90,2.10,=J413*K413*L413,=M413,=H413-N413,,,=O413,,,,,,,,
F540,空調管道間,3.86,Type-C 單面輕隔間,=1.33+0.60+0.60+1.33,5.11,=E414*F414,=G414,D1-60x120 cm,1,0.60,1.20,=J414*K414*L414,=M414,=H414-N414,,,,,=O414,,,,,,
F541,理貨區,355.77,Type-C 單面輕隔間,=1.63,5.52,=E415*F415,=G415,,,,,,,=H415,,,,,=O415,,,,,,
F541,理貨區,355.77,Type-F 岩棉庫板,=38.45,8.99,=E416*F416,=G416,SD4-400x280 cm,2,4.00,2.80,=J416*K416*L416,=M416,=H416-N416-N417,,,,,,,,,=O416,,
,,,,,,,,D6-120x220 cm,2,1.20,2.20,=J417*K417*L417,=M417,,,,,,,,,,,,
F542,露臺,71.44,,,,,,,,,,,,,,,,,,,,,,,
F543,管道間,3.32,Type-C 單面輕隔間,=0.78+1.03,2.21,=E419*F419,=G419,,,,,,,=H419,,,,,=O419,,,,,,
F543,管道間,3.32,Type-C 單面輕隔間,=1.05,3.81,=E420*F420,=G420,,,,,,,=H420,,,,,=O420,,,,,,
F601,甲貨梯機房,31.80,Type-A 雙面輕隔間,=37.25+8.85+7.05+8.85,3.27,=E421*F421,=G421,,,,,,,=H421,=O421,,,,,,,,,,
F601,甲貨梯機房,31.80,Type-F 岩棉庫板,=1.05,2.86,=E422*F422,=G422,,,,,,,=H422,,,,,,,,,=O422,,
F601,甲貨梯機房,31.80,Type-G 矽酸鈣板(單板),=1.88,3.72,=E423*F423,=G423,,,,,,,=H423,,,,,,,,,,,=O423
F602,甲安全梯,20.65,Type-A 雙面輕隔間,=6.30+4.10,3.43,=E424*F424,=G424,D6-120x220 cm,1,1.20,2.20,=J424*K424*L424,=M424,=H424-N424,=O424,,,,,,,,,,
F603,乙安全梯,20.78,Type-A 雙面輕隔間,=12.12+6.29,3.46,=E425*F425,=G425,D6-120x220 cm,1,1.20,2.20,=J425*K425*L425,=M425,=H425-N425,=O425,,,,,,,,,,
F604,管道間,9.70,Type-C 單面輕隔間,=4.10+4.10+0.75+0.75,3.51,=E426*F426,=G426,,,,,,,=H426,,,,,=O426,,,,,,
F604,管道間,9.70,Type-G 矽酸鈣板(單板),=1.98,3.54,=E427*F427,=G427,,,,,,,=H427,,,,,,,,,,,=O427
F605,管道間,9.70,Type-C 單面輕隔間,=4.10+4.10+0.75,3.46,=E428*F428,=G428,,,,,,,=H428,,,,,=O428,,,,,,
F606,丙無障礙安全梯,19.95,Type-A 雙面輕隔間,=7.68,3.39,=E429*F429,=G429,,,,,,,=H429,=O429,,,,,,,,,,
F606,丙無障礙安全梯,19.95,Type-F 岩棉庫板,=7.68,3.39,=E430*F430,=G430,,,,,,,=H430,,,,,,,,,=O430,,
F606,丙無障礙安全梯,19.95,Type-F 岩棉庫板(柱封版),=3.18+0.40+0.40+0.48,3.36,=E431*F431,=G431,,,,,,,=H431,,,,,,,,,,=O431,
F607,管道間,7.40,Type-C 單面輕隔間,=1.63+4.40+0.55+0.55+3.15,3.50,=E432*F432,=G432,,,,,,,=H432,,,,,=O432,,,,,,
F607,管道間,7.40,Type-F 岩棉庫板(柱封版),=0.40,2.50,=E433*F433,=G433,,,,,,,=H433,,,,,,,,,,=O433,
F607,管道間,7.40,Type-G 矽酸鈣板(單板),=1.98,3.54,=E434*F434,=G434,,,,,,,=H434,,,,,,,,,,,=O434
F608,丙無障礙客梯,16.10,Type-C 單面輕隔間,=1.23+1.23,3.25,=E435*F435,=G435,,,,,,,=H435,,,,,=O435,,,,,,
F608,丙無障礙客梯,16.10,Type-D 矽酸鈣板(單面封板),=3.15,3.49,=E436*F436,=G436,,,,,,,=H436,,,,,,=O436,,,,,
F609,丁無障礙客梯,14.16,Type-D 矽酸鈣板(單面封板),=6.65+2.95,3.44,=E437*F437,=G437,,,,,,,=H437,,,,,,=O437,,,,,
F609,丁無障礙客梯,14.16,Type-F 岩棉庫板,=8.85,3.50,=E438*F438,=G438,,,,,,,=H438,,,,,,,,,=O438,,
F610,管道間,5.72,Type-C 單面輕隔間,=2.31+0.55+2.31+0.55,3.50,=E439*F439,=G439,,,,,,,=H439,,,,,=O439,,,,,,
F611,管道間,3.86,Type-C 單面輕隔間,=1.33+0.60+0.60+1.33,3.89,=E440*F440,=G440,,,,,,,=H440,,,,,=O440,,,,,,
F612,乙貨梯機房,31.78,Type-A 雙面輕隔間,=12.95+12.87+8.85,3.46,=E441*F441,=G441,,,,,,,=H441,=O441,,,,,,,,,,
F612,乙貨梯機房,31.78,Type-F 岩棉庫板,=0.65,3.08,=E442*F442,=G442,,,,,,,=H442,,,,,,,,,=O442,,
F612,乙貨梯機房,31.78,Type-G 矽酸鈣板(單板),=1.98,3.54,=E443*F443,=G443,,,,,,,=H443,,,,,,,,,,,=O443
R101,常溫室 空調機房,34.50,Type-C 單面輕隔間,=12.98,1.16,=E444*F444,=G444,,,,,,,=H444,,,,,=O444,,,,,,
R102,甲安全梯,20.85,Type-A 雙面輕隔間,=4.13+6.30,3.70,=E445*F445,=G445,D6-120x220 cm,1,1.20,2.20,=J445*K445*L445,=M445,=H445-N445,=O445,,,,,,,,,,
R103,發電機房,62.90,Type-F 岩棉庫板,=21.90+24.35,7.15,=E446*F446,=G446,D3-180x220 cm,3,1.80,2.20,=J446*K446*L446,=M446,=H446-N446,,,,,,,,,=O446,,
R104,走廊,31.38,Type-A 雙面輕隔間,=5.15,7.57,=E447*F447,=G447,D7-180x220 cm,1,1.80,2.20,=J447*K447*L447,=M447,=H447-N447,=O447,,,,,,,,,,
R104,走廊,31.38,Type-C 單面輕隔間,=1.63+0.55,6.88,=E448*F448,=G448,,,,,,,=H448,,,,,=O448,,,,,,
R104,走廊,31.38,Type-F 岩棉庫板,=2.98+9.30,7.40,=E449*F449,=G449,D3-180x220 cm,2,1.80,2.20,=J449*K449*L449,=M449,=H449-N449,,,,,,,,,=O449,,
R105,發電機房,56.05,,,,,,,,,,,,,,,,,,,,,,,
R106,變電室,53.80,Type-F 岩棉庫板,=20.27,7.40,=E451*F451,=G451,D3-180x220 cm,1,1.80,2.20,=J451*K451*L451,=M451,=H451-N451,,,,,,,,,=O451,,
R107,走廊,40.95,Type-F 岩棉庫板,=17.68,7.41,=E452*F452,=G452,,,,,,,=H452,,,,,,,,,=O452,,
R108,中央空調,68.40,Type-F 岩棉庫板,=14.03,7.34,=E453*F453,=G453,D3-180x220 cm,1,1.80,2.20,=J453*K453*L453,=M453,=H453-N453,,,,,,,,,=O453,,
R109,管道間,15.03,Type-C 單面輕隔間,=3.63+3.94+3.63+3.94,7.40,=E454*F454,=G454,,,,,,,=H454,,,,,=O454,,,,,,
R110,變電室,54.42,Type-F 岩棉庫板,=12.74,7.38,=E455*F455,=G455,,,,,,,=H455,,,,,,,,,=O455,,
R111,管道間,6.10,Type-C 單面輕隔間,=0.70+2.35+0.70+2.35,7.70,=E456*F456,=G456,,,,,,,=H456,,,,,=O456,,,,,,
R112,丁無障礙客梯,14.16,Type-D 矽酸鈣板(單面封板),=1.15+6.65+3.70,4.35,=E457*F457,=G457,,,,,,,=H457,,,,,,=O457,,,,,
R113,丙無障礙客梯,16.10,Type-C 單面輕隔間,=1.23+1.23,4.07,=E458*F458,=G458,,,,,,,=H458,,,,,=O458,,,,,,
R113,丙無障礙客梯,16.10,Type-D 矽酸鈣板(單面封板),=3.15,3.81,=E459*F459,=G459,,,,,,,=H459,,,,,,=O459,,,,,
R114,梯廳,26.05,Type-A 雙面輕隔間,=7.68,3.93,=E460*F460,=G460,D15-100x220 cm,1,1.00,2.20,=J460*K460*L460,=M460,=H460-N460,=O460,,,,,,,,,,
R115,管道間,7.40,Type-C 單面輕隔間,=1.60+3.15+4.40,5.90,=E461*F461,=G461,,,,,,,=H461,,,,,=O461,,,,,,
R115,管道間,7.40,Type-F 岩棉庫板(柱封版),=0.40+0.40,2.50,=E462*F462,=G462,,,,,,,=H462,,,,,,,,,,=O462,
R116,丙無障礙安全梯,19.90,Type-C 單面輕隔間,=6.63,3.92,=E463*F463,=G463,,,,,,,=H463,,,,,=O463,,,,,,
R116,丙無障礙安全梯,19.90,Type-F 岩棉庫板(柱封版),=3.15+0.40+0.45,3.50,=E464*F464,=G464,,,,,,,=H464,,,,,,,,,,=O464,
R117,管道間,9.75,Type-C 單面輕隔間,=4.13+0.75,3.89,=E465*F465,=G465,,,,,,,=H465,,,,,=O465,,,,,,
R118,太陽能機房,26.85,Type-A 雙面輕隔間,=5.83+8.95,3.88,=E466*F466,=G466,D6-120x220 cm,2,1.20,2.20,=J466*K466*L466,=M466,=H466-N466,=O466,,,,,,,,,,
R201,丙無障礙安全梯,19.75,Type-A 雙面輕隔間,=7.60,3.64,=E467*F467,=G467,D6-120x220 cm,1,1.20,2.20,=J467*K467*L467,=M467,=H467-N467,=O467,,,,,,,,,,
R201,丙無障礙安全梯,19.75,Type-C 單面輕隔間,=0.55+3.15+7.68,3.95,=E468*F468,=G468,,,,,,,=H468,,,,,=O468,,,,,,
R201,丙無障礙安全梯,19.75,Type-F 岩棉庫板(柱封版),=3.15,3.81,=E469*F469,=G469,,,,,,,=H469,,,,,,,,,,=O469,
R202,電梯機房,25.93,Type-D 矽酸鈣板(單面封板),=1.15+4.38,3.62,=E470*F470,=G470,,,,,,,=H470,,,,,,=O470,,,,,
